日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2023-01-01,中度污染,192,297,151,203,20,58,1.33,50
2023-01-02,轻度污染,123,264,93,137,19,57,1.26,41
2023-01-03,轻度污染,147,279,111,161,19,63,1.35,39
2023-01-04,中度污染,154,283,117,165,15,63,1.24,48
2023-01-05,中度污染,175,266,133,184,18,73,1.32,60
2023-01-06,重度污染,227,314,178,247,15,71,1.48,55
2023-01-07,重度污染,215,331,165,266,21,72,1.51,53
2023-01-08,重度污染,216,329,168,246,18,75,1.58,49
2023-01-09,轻度污染,135,282,98,171,15,47,1.12,59
2023-01-10,优,50,108,26,55,13,36,0.72,56
2023-01-11,良,69,139,48,82,12,40,0.84,52
2023-01-12,良,67,149,48,65,8,42,0.97,22
2023-01-13,轻度污染,131,238,98,125,10,53,1.57,8
2023-01-14,优,40,187,22,39,6,21,0.70,49
2023-01-15,优,45,226,17,46,10,20,0.68,54
2023-01-16,良,60,229,36,69,15,29,0.85,50
2023-01-17,良,79,238,56,104,15,37,0.98,47
2023-01-18,轻度污染,120,286,72,191,18,39,1.16,43
2023-01-19,轻度污染,123,312,74,192,15,33,1.06,57
2023-01-20,良,83,227,40,114,13,24,0.83,52
2023-01-21,良,96,215,64,132,15,21,0.90,65
2023-01-22,轻度污染,148,214,111,179,19,23,1.00,61
2023-01-23,轻度污染,136,279,103,149,12,23,1.08,47
2023-01-24,优,47,156,19,51,9,11,0.67,63
2023-01-25,优,49,103,25,52,12,16,0.73,59
2023-01-26,良,78,206,56,100,18,24,0.96,49
2023-01-27,良,88,276,53,125,23,28,0.96,45
2023-01-28,良,80,285,57,104,20,36,1.00,48
2023-01-29,良,79,253,57,103,24,38,0.89,55
2023-01-30,轻度污染,109,291,81,145,22,47,1.02,65
2023-01-31,轻度污染,142,309,107,167,20,59,1.19,67
2023-10-01,优,46,0,14,44,8,29,0.44,77
2023-10-02,优,44,0,17,43,8,25,0.42,81
2023-10-03,良,54,0,31,60,8,31,0.47,72
2023-10-04,良,65,0,44,74,8,36,0.57,62
2023-10-05,良,55,0,24,60,8,27,0.47,78
2023-10-06,良,64,0,30,78,8,43,0.56,46
2023-10-07,良,63,0,36,78,10,40,0.62,53
2023-10-08,良,51,0,30,55,6,31,0.48,74
2023-10-09,良,67,0,41,79,9,42,0.62,78
2023-10-10,良,53,263,26,57,7,39,0.54,68
2023-10-11,良,68,302,46,84,9,46,0.73,78
2023-10-12,良,72,286,49,83,9,42,0.71,79
2023-10-13,良,77,291,54,94,8,46,0.71,80
2023-10-14,轻度污染,108,329,79,129,10,52,0.83,85
2023-10-15,良,93,322,62,115,11,58,0.80,84
2023-10-16,良,81,305,49,108,11,41,0.74,96
2023-10-17,良,66,238,34,77,11,31,0.60,113
2023-10-18,轻度污染,101,322,73,130,11,38,0.80,142
2023-10-19,良,89,323,65,86,6,34,0.73,63
2023-10-20,优,39,253,13,40,6,32,0.47,49
2023-11-01,良,76,276,50,93,7,37,0.81,115
2023-11-02,良,78,268,50,97,9,45,0.83,104
2023-11-03,轻度污染,116,318,52,180,9,46,0.84,57
2023-11-04,良,80,278,28,109,9,35,0.73,34
2023-11-05,优,45,183,19,50,5,26,0.63,38
2023-11-06,良,51,275,18,53,5,27,0.53,50
2023-11-07,良,55,252,23,63,6,37,0.55,46
2023-11-08,良,80,303,54,102,10,48,0.80,64
2023-11-09,轻度污染,124,319,92,157,8,57,0.99,47
2023-11-10,优,33,142,8,33,5,27,0.49,56
2023-11-11,优,49,269,29,48,3,31,0.57,38
2023-11-12,良,59,269,38,64,7,34,0.63,39
2023-11-13,优,50,198,26,53,7,36,0.57,44
2023-11-14,良,73,247,53,88,8,51,0.85,34
2023-11-15,轻度污染,124,301,94,142,10,66,1.00,35
2023-11-16,良,98,288,53,123,6,47,0.66,42
2023-11-17,良,60,214,23,72,7,40,0.59,36
2023-11-18,良,71,265,43,90,10,48,0.80,37
2023-11-19,轻度污染,108,326,79,151,11,61,0.98,43
2023-11-20,轻度污染,111,298,84,156,11,54,1.04,70
2023-11-21,轻度污染,123,299,93,149,11,58,0.97,75
2023-11-22,轻度污染,145,309,109,178,11,67,1.12,54
2023-11-23,轻度污染,108,304,51,136,6,38,0.73,54
2023-11-24,优,49,147,19,52,8,31,0.56,47
2023-11-25,良,54,168,27,59,9,37,0.70,41
2023-11-26,良,78,246,56,86,7,44,0.78,24
2023-11-27,轻度污染,123,326,93,160,10,56,1.12,29
2023-11-28,良,92,300,63,128,10,46,0.92,46
2023-11-29,良,61,188,31,75,10,39,0.75,46
2023-11-30,优,49,181,22,54,10,36,0.68,46
2023-12-01,良,77,319,54,93,12,51,0.90,33
2023-12-02,轻度污染,105,326,78,123,11,57,1.08,34
2023-12-03,轻度污染,113,317,85,130,14,60,1.04,46
2023-12-04,轻度污染,118,302,89,135,12,60,1.07,53
2023-12-05,轻度污染,143,294,108,161,12,65,1.22,42
2023-12-06,中度污染,173,306,87,254,11,53,0.98,41
2023-12-07,轻度污染,133,316,63,216,10,51,0.91,48
2023-12-08,良,77,234,48,102,8,46,0.92,65
2023-12-09,轻度污染,120,311,89,170,16,64,1.27,52
2023-12-10,良,58,198,16,66,5,27,0.63,51
2023-12-11,优,35,142,21,33,3,22,0.61,47
